"","frame","sigma","lambda","rep","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity"
"127",7,0.5,0.667333333333333,7,294,255,341,329,0.575565298889332,0.0770041846518831,0.0933604985618408,0.471910112359551,0.427852348993289
"128",7,0.5,0.667333333333333,8,303,269,520,462,0.575121151122046,0.0836651583710406,0.13921620298912,0.396078431372549,0.340937896070976
"129",7,0.5,0.667333333333333,9,450,226,308,72,0.806212062508072,0.760859829825347,0.509063670411985,0.862068965517241,0.423220973782772
"130",7,0.5,0.667333333333333,10,299,297,329,346,0.448489238923149,-0.0206922551306521,-0.0234594548388132,0.463565891472868,0.47444089456869
"131",7,0.5,0.667333333333333,11,1153,665,1227,702,0.709109999259187,0.4164611602818,0.434522772654845,0.621563342318059,0.351479915433404
"132",7,0.5,0.667333333333333,12,603,324,476,175,0.713357969151671,0.621956751852412,0.477462686567164,0.775064267352185,0.405
"133",7,0.5,0.667333333333333,13,306,233,305,146,0.624629897687272,0.430233570288699,0.360278931894939,0.676991150442478,0.433085501858736
"134",7,0.5,0.667333333333333,14,233,234,344,321,0.413591620551385,0.0264356477205944,0.0374088539732985,0.42057761732852,0.404844290657439
"135",7,0.5,0.667333333333333,15,204,167,250,213,0.587322947397478,0.148,0.181372549019608,0.489208633093525,0.400479616306954
"136",7,0.5,0.667333333333333,16,910,481,584,93,0.899706982339367,0.830909668255507,0.502199865861838,0.907278165503489,0.451643192488263
"137",7,0.5,0.667333333333333,17,304,175,299,151,0.663121899197849,0.473894667205704,0.447416999777926,0.668131868131868,0.369198312236287
"138",7,0.5,0.667333333333333,18,1581,952,1335,652,0.726749902239551,0.499799903054455,0.412067271299679,0.708016121809225,0.416265850459117
"139",7,0.5,0.667333333333333,19,409,272,523,360,0.684742089293455,0.288390723718071,0.356712952284295,0.53185955786736,0.342138364779874
"140",7,0.5,0.667333333333333,20,196,127,190,129,0.662999272021354,0.337765182186235,0.335688534088714,0.603076923076923,0.400630914826498
"141",8,0.5,0.778222222222222,1,259,150,250,142,0.668460099750623,0.433416458852868,0.419401544401544,0.645885286783042,0.375
"142",8,0.5,0.778222222222222,2,411,477,542,546,0.482495080410549,-0.072643986627954,-0.0899694132647579,0.429467084639498,0.46810598626104
"143",8,0.5,0.778222222222222,3,322,229,324,268,0.66343672418549,0.224712282904373,0.241236395493805,0.545762711864407,0.414104882459313
"144",8,0.5,0.778222222222222,4,1184,1336,1851,1857,0.562902130252721,-0.0514076396220853,-0.0766861150450733,0.389345609996712,0.419203012237214
"145",8,0.5,0.778222222222222,5,237,219,304,309,0.525514956681305,0.0263700115673801,0.0353123411670743,0.434065934065934,0.418738049713193
