"","rep","model","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity","avg_metric"
"111",11,"XGB",43,44,1243,1220,0.512472923399289,-0.000147142286591073,-0.00417412045318999,0.0340459224069675,0.0341880341880342,-0.00216063136989053
"112",12,"XGB",76,71,1838,1805,0.506285178158024,0.00333586133368513,0.0794918805657416,0.0404040404040404,0.037192247249869,0.0414138709497134
"113",13,"XGB",139,127,1772,1744,0.505536217317609,0.00743854063145477,0.0940290421691082,0.0738183749336166,0.0668773038441285,0.0507337914002815
"114",14,"XGB",257,230,1064,1115,0.512364197169263,0.011643997018786,0.0511128885788343,0.18731778425656,0.17774343122102,0.0313784427988102
"115",15,"XGB",67,60,2786,2663,0.510921954597288,0.00353441724583148,0.140978173083981,0.0245421245421245,0.0210822206605763,0.072256295164906
"116",16,"XGB",592,570,5636,5670,0.499862886525676,0.00296413143683927,0.0284739702641731,0.0945384861066752,0.0918466000644538,0.0157190508505062
"117",17,"XGB",266,253,1192,1199,0.505293054784652,0.00785956433103507,0.0357077815646381,0.181569965870307,0.175086505190311,0.0217836729478366
"118",18,"XGB",134,117,1969,1938,0.522599990930528,0.00909365434505105,0.132725633577082,0.0646718146718147,0.0560882070949185,0.0709096439610664
"119",19,"XGB",162,228,1154,1214,0.525916423366876,-0.0565802466647858,-0.401297100284075,0.117732558139535,0.164978292329957,-0.228938673474431
"120",20,"XGB",1296,1252,4097,4013,0.509600782679218,0.0131229071913241,0.0411747667153661,0.244113769071388,0.234062441577865,0.0271488369533451
"121",21,"XGB",267,288,1312,1325,0.505929451947236,-0.0149834538546392,-0.0732584269662926,0.167713567839196,0.18,-0.0441209404104659
"122",22,"XGB",180,178,2145,1990,0.514824803458106,0.00684906491358095,0.0762424068493801,0.0829493087557604,0.0766250538097288,0.0415457358814805
"123",23,"XGB",60,64,1241,1274,0.511380516638233,-0.00427425288161731,-0.0903703703703711,0.0449775112443778,0.0490421455938698,-0.0473223116259942
"124",24,"XGB",460,429,2558,2411,0.520434596592199,0.0193846202446671,0.103609117771211,0.160222918843609,0.143622363575494,0.0614968690079392
"125",25,"XGB",21,21,1176,1221,0.514131544642605,-0.000646997929606652,-0.0375939849624094,0.0169082125603865,0.0175438596491229,-0.019120491446008
"126",26,"XGB",213,228,3536,3549,0.506944197272236,-0.00421005722863299,-0.0698537665953214,0.0566188197767145,0.0605738575982997,-0.0370319119119772
"127",27,"XGB",168,159,1332,1279,0.510093734487088,0.0105919672263832,0.081500910223244,0.116102280580511,0.106639839034205,0.0460464387248136
"128",28,"XGB",88,117,1569,1632,0.502517828078016,-0.0195918004357687,-0.356357165965708,0.0511627906976744,0.0693950177935944,-0.187974483200738
"129",29,"XGB",251,240,976,1028,0.509463988107485,-0.00139709557928192,-0.00571398616062035,0.196247068021892,0.197368421052632,-0.00355554086995113
"130",30,"XGB",86,76,635,607,0.509001000562182,0.0192657735964822,0.138651751545481,0.124098124098124,0.106891701828411,0.0789587625709818
"131",31,"XGB",118,105,1268,1267,0.514018947152537,0.00944607044835943,0.102392385843198,0.0851985559566787,0.0764748725418791,0.0559192281457789
"132",32,"XGB",211,234,904,934,0.510845273635659,-0.0268694207211035,-0.115826385360531,0.184279475982533,0.205623901581722,-0.0713479030408172
"133",33,"XGB",273,279,1252,1309,0.519338847138076,-0.0118217930956488,-0.0560217052705625,0.172566371681416,0.182233834095363,-0.0339217491831056
"134",34,"XGB",308,276,2353,2341,0.509040494263465,0.0126113872445752,0.0970790335567818,0.116270290675727,0.104982883225561,0.0548452104006785
"135",35,"XGB",201,228,4928,5076,0.497846569263721,-0.00641413731237495,-0.160948554357769,0.038089823763502,0.0442203258339798,-0.0836813458350719
"136",36,"XGB",242,237,1426,1486,0.495170973363622,-0.00287728559555345,-0.0176172703915554,0.140046296296296,0.142513529765484,-0.0102472779935544
"137",37,"XGB",66,61,1036,1075,0.51009365834796,0.00236955999445054,0.0386867766083815,0.0578439964943032,0.0556061987237921,0.020528168301416
"138",38,"XGB",173,170,1413,1396,0.505110263728663,0.00321561102698842,0.0260316440211938,0.110261312938177,0.107391029690461,0.0146236275240911
"139",39,"XGB",210,204,1727,1659,0.503350199318988,0.00750798618114157,0.059761781460383,0.112359550561798,0.105644743656137,0.0336348838207623
"140",40,"XGB",519,503,4993,5061,0.502093229745452,0.00163971495577686,0.0160158517808017,0.093010752688172,0.0915211062590975,0.00882778336828927
"141",41,"XGB",37,54,1730,1739,0.505465877873389,-0.00973025048169562,-0.45291479820628,0.0208333333333333,0.0302690582959642,-0.231322524343988
"142",42,"XGB",282,270,2518,2586,0.508223440667215,0.00164173598625472,0.0150798253914959,0.098326359832636,0.0968436154949784,0.0083607806888753
"143",43,"XGB",128,107,965,996,0.500672654299676,0.0156251728652296,0.123513292910448,0.113879003558719,0.0998134328358209,0.0695692328878387
"144",44,"XGB",198,191,1871,1870,0.506852490586781,0.00343427681180841,0.0325466106261445,0.0957446808510638,0.0926285160038798,0.0179904437189765
"145",45,"XGB",13,11,1365,1398,0.496110553705932,0.00122896239125869,0.132323345259396,0.00921332388377038,0.00799418604651159,0.0667761538253275
"146",46,"XGB",138,144,954,946,0.496756934782463,-0.00442108194666857,-0.0301734378712286,0.127306273062731,0.131147540983607,-0.0172972599089486
"147",47,"XGB",900,873,5357,5434,0.502500467552372,0.00228161436373175,0.0138073836276082,0.142090306283549,0.140128410914928,0.00804449899567
"148",48,"XGB",177,174,2148,2228,0.509255856930276,-0.00144717127957361,-0.0181900465700222,0.0735966735966736,0.0749354005167958,-0.00981860892479791
"149",49,"XGB",216,198,1551,1557,0.496267789151613,0.00972027216762072,0.0707547169811323,0.121827411167513,0.113207547169811,0.0402374945743765
"150",50,"XGB",112,113,1101,1131,0.50109410060424,-0.00328159217503576,-0.0330298305483638,0.0901045856798069,0.0930807248764415,-0.0181557113616998
