"","frame","sigma","lambda","rep","TP","FP","TN","FN","auc","Reach","KG","Sensitivity","X1.Specificity","avg_metric","Kappa"
"140",14,2.75,0.7505,10,663,320,982,609,0.767659092446067,0.365210582945856,0.52846647343801,0.52122641509434,0.245775729646697,0.446838528191933,0.72382642303075
"141",15,2.75,1,1,446,205,635,343,0.746510048886475,0.424927397383312,0.568265534913517,0.565272496831432,0.244047619047619,0.496596466148414,0.677060437685156
"142",15,2.75,1,2,1035,389,1301,677,0.752657537466128,0.486318037167671,0.619261927221793,0.604556074766355,0.230177514792899,0.552789982194732,0.626030917869059
"143",15,2.75,1,3,1730,509,1568,347,0.859810511485006,0.778698979591837,0.705780346820809,0.832932113625421,0.245064997592682,0.742239663206323,0.41213288396726
"144",15,2.75,1,4,1325,386,1208,274,0.865817563204104,0.773888067459381,0.707765441159063,0.828642901813634,0.242158092848181,0.740826754309222,0.413450755456291
"145",15,2.75,1,5,749,325,854,480,0.756283510387573,0.460805704453079,0.547686426119757,0.609438567941416,0.275657336726039,0.504246065286418,0.667109010741528
"146",15,2.75,1,6,1127,468,1470,743,0.759901188170174,0.476178107606679,0.599308831083921,0.602673796791444,0.241486068111455,0.5377434693453,0.637878004044584
"147",15,2.75,1,7,4880,1278,5098,1450,0.875778876057728,0.713507821733518,0.740004139498529,0.770932069510269,0.200439146800502,0.726755980616023,0.429451153435845
"148",15,2.75,1,8,1491,553,1809,791,0.7931336506073,0.547412901409788,0.641669946293624,0.653374233128834,0.234123624047417,0.594541423851706,0.580007597716522
"149",15,2.75,1,9,795,346,1238,770,0.681910962661761,0.370477994497979,0.570000317641827,0.507987220447284,0.218434343434343,0.470239156069903,0.709975870044106
"150",15,2.75,1,10,659,311,991,613,0.766083142528669,0.366844049273652,0.538946735383174,0.518081761006289,0.238863287250384,0.452895392328413,0.720015693739578
"151",16,3.875,0.002,1,623,362,478,166,0.763068078942604,0.630271886981561,0.454219215776198,0.789607097591889,0.430952380952381,0.54224555137888,0.644029723342888
"152",16,3.875,0.002,2,1240,628,1062,472,0.733880578443842,0.561266874350987,0.486955525863714,0.724299065420561,0.371597633136095,0.52411120010735,0.647089256886584
"153",16,3.875,0.002,3,1783,853,1224,294,0.797178279939239,0.759803921568627,0.521592821088054,0.858449687048628,0.410688493018777,0.640698371328341,0.552238805970149
